instnm,Professors (S2020_SIS  All full-time instructional staff),Associate professors (S2020_SIS  All full-time instructional staff),Assistant professors (S2020_SIS  All full-time instructional staff),Intructors (S2020_SIS  All full-time instructional staff),Lecturers (S2020_SIS  All full-time instructional staff),State abbreviation (HD2020),Level of institution (HD2020),Control of institution (HD2020),Historically Black College or University (HD2020),Tribal college (HD2020),Degree of urbanization (Urban-centric locale) (HD2020),Institution size category (HD2020),Percent admitted - total (DRVADM2020),Percent admitted - men (DRVADM2020),Percent admitted - women (DRVADM2020),Admissions yield - total (DRVADM2020),Admissions yield - men (DRVADM2020),Admissions yield - women (DRVADM2020),Percent of undergraduate enrollment 18-24 (DRVEF2020),Percent of undergraduate enrollment  25-64 (DRVEF2020),Percent of total enrollment that are American Indian or Alaska Native (DRVEF2020),Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander (DRVEF2020),Percent of total enrollment that are Asian (DRVEF2020),Percent of total enrollment that are Native Hawaiian or Other Pacific Islander (DRVEF2020),Percent of total enrollment that are Black or African American (DRVEF2020),Percent of total enrollment that are Hispanic/Latino (DRVEF2020),Percent of total enrollment that are White (DRVEF2020),Percent of total enrollment that are Race/ethnicity unknown (DRVEF2020),Percent of total enrollment that are Nonresident Alien (DRVEF2020),Percent of total enrollment that are two or more races (DRVEF2020),Percent of students enrolled exclusively in distance education courses (DRVEF2020),Percent of students enrolled in some but not all distance education courses (DRVEF2020),Percent of students not enrolled in any distance education courses (DRVEF2020),Percent of first-time undergraduates - in-state (DRVEF2020),Percent of first-time undergraduates - out-of-state (DRVEF2020),Percent of first-time undergraduates - foreign countries (DRVEF2020),Full-time retention rate  2020 (EF2020D),Part-time retention rate  2020 (EF2020D),Number of students receiving a Doctor's degree (DRVC2020),Number of students receiving a Master's degree (DRVC2020),Number of students receiving a Bachelor's degree (DRVC2020),Number of students receiving an Associate's degree (DRVC2020),Graduation rate  men (DRVGR2020),Graduation rate  women (DRVGR2020),Graduation rate - Bachelor degree within 4 years  total (DRVGR2020),Graduation rate - Bachelor degree within 5 years  total (DRVGR2020),Graduation rate - Bachelor degree within 6 years  total (DRVGR2020),Transfer-out rate  total cohort (DRVGR2020),Graduation rate  total cohort (DRVGR2020),Instructional FTE (DRVHR2020),Research FTE (DRVHR2020),Public Service FTE (DRVHR2020),Instructional  research and public service FTE (DRVHR2020),Librarians  Curators  and Archivists FTE (DRVHR2020),Student and Academic Affairs and Other Education Services FTE (DRVHR2020),Management FTE (DRVHR2020),Business and Financial Operations FTE (DRVHR2020),Computer  Engineering  and Science FTE (DRVHR2020),Community Service  Legal  Arts  and Media FTE (DRVHR2020),Healthcare FTE (DRVHR2020),Service  sales  office/admin support  natural resources  construction  maintenance  production  transportation & materials moving FTE (DRVHR2020),Service FTE (DRVHR2020),Sales and Related FTE (DRVHR2020),Office and Administrative Support FTE (DRVHR2020),Natural Resources  Construction  and Maintenance FTE (DRVHR2020),Production  Transportation  and Material Moving FTE (DRVHR2020),Physical books as a percent of the total library collection (DRVAL2020),Physical media as a percent of the total library collection (DRVAL2020),Digital/Electronic books as a percent of the total library collection (DRVAL2020),Digital/Electronic media as a percent of the total library collection (DRVAL2020),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2020),Percent of first-time degree/certificate-seeking students submitting ACT scores (ADM2020),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2020),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2020),SAT Math 25th percentile score (ADM2020),SAT Math 75th percentile score (ADM2020),ACT Composite 25th percentile score (ADM2020),ACT Composite 75th percentile score (ADM2020),ACT English 25th percentile score (ADM2020),ACT English 75th percentile score (ADM2020),ACT Math 25th percentile score (ADM2020),ACT Math 75th percentile score (ADM2020)
Pratt Institute-Main,86,52,31,0,0,NY,1,2,2,2,11,2,66,61,68,15,16,14,93,5,0,13,12,0,4,10,32,1,36,3,0,0,100,19,50,31,75,,0,490,800,43,64,74,53,69,72,10,71,462,0,0,462,16,55,69,23,48,80,18,271,140,0,131,0,0,31,27,1,26,71,19,570,660,550,680,25,30,24,32,22,28
Presbyterian College,42,32,26,1,0,SC,1,2,2,2,32,2,71,67,74,22,24,20,94,0,0,2,2,0,16,6,69,0,2,4,0,0,100,67,31,2,72,,46,0,197,0,56,72,53,61,61,30,64,110,0,0,110,3,10,26,10,11,76,11,52,9,0,35,8,0,6,1,27,66,74,47,520,610,510,590,20,25,,,,
Prescott College,0,20,5,25,0,AZ,1,2,2,2,13,1,98,98,99,17,21,15,,,2,2,2,0,2,3,65,22,1,4,72,0,28,28,70,0,59,,6,123,122,0,63,40,32,49,49,29,49,105,0,0,105,1,1,27,2,3,1,0,54,6,13,34,1,0,9,0,58,0,25,11,555,680,540,610,15,24,11,21,16,22
Presentation College,5,3,8,18,0,SD,1,2,2,2,33,1,93,93,95,25,21,40,,,3,2,1,0,11,10,66,2,1,5,43,30,27,22,64,14,51,,0,7,154,9,41,54,36,44,45,25,47,42,0,0,42,2,9,16,6,3,23,2,9,5,0,4,0,0,4,0,88,0,31,40,475,545,490,560,17,22,14,23,16,23
Presidio Graduate School,2,0,0,0,0,CA,1,2,2,2,11,1,,,,,,,,,1,9,9,0,4,13,59,9,1,6,0,0,100,,,,,,0,43,0,0,,,,,,,,8,0,0,8,0,4,12,2,0,0,0,2,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,
Princeton Theological Seminary,22,14,5,8,1,NJ,1,2,2,2,13,1,,,,,,,,,0,9,9,0,11,8,60,0,9,3,100,0,0,,,,,,10,109,0,0,,,,,,,,56,8,0,64,9,1,46,14,7,8,0,76,23,0,35,18,0,53,4,35,1,,,,,,,,,,,,
Princeton University,495,123,181,18,180,NJ,1,2,2,2,13,3,6,5,6,62,64,61,98,1,0,19,19,0,6,9,35,3,23,5,76,6,19,17,71,12,83,,318,602,1268,0,97,99,90,97,98,,98,1066,0,0,1066,286,76,765,329,1538,270,70,2203,760,0,978,465,0,66,4,23,2,71,45,710,770,740,800,32,35,34,36,31,35
Principia College,21,14,25,3,0,IL,1,2,2,2,41,1,93,95,92,70,69,71,94,6,0,4,3,1,2,6,63,3,21,2,29,65,6,15,71,15,86,,0,0,100,0,70,83,60,73,75,,75,67,0,0,67,2,7,26,5,6,27,3,113,61,1,18,26,7,25,1,66,2,92,34,528,603,490,603,22,29,23,28,20,26
Providence Christian College,1,2,1,0,0,CA,1,2,2,2,12,1,42,46,38,81,100,62,98,2,2,2,2,1,3,46,37,2,2,4,100,0,0,71,10,5,49,,0,0,23,0,21,40,29,29,29,,29,7,0,0,7,1,2,0,1,0,8,0,12,1,1,10,0,0,23,0,51,23,,,,,,,,,,,,
Providence College,69,104,115,15,0,RI,1,2,2,2,12,2,54,55,53,17,17,17,96,3,0,2,2,0,4,10,77,4,2,2,7,85,7,10,89,1,92,50,0,232,963,1,84,86,82,84,85,13,85,362,0,0,362,24,39,115,97,39,84,14,169,50,0,97,13,9,13,0,76,7,44,14,610,680,600,680,27,31,27,34,25,30
Provo College,0,0,0,12,0,UT,1,3,2,2,12,1,,,,,,,,,2,2,2,1,1,13,77,2,0,2,44,56,0,97,3,0,79,,0,0,86,24,67,49,64,64,64,10,53,23,0,0,23,0,13,13,0,0,0,0,2,0,0,2,0,0,0,0,56,44,,,,,,,,,,,,
Provo College-Idaho Falls Campus,,,,,,ID,1,3,2,2,13,1,,,,,,,,,0,0,0,0,0,19,75,6,0,0,63,38,0,100,0,0,,,0,0,0,0,,,,,,,,2,0,0,2,0,0,3,0,0,0,0,6,0,0,6,0,0,,,,,,,,,,,,,,,,
Pueblo Community College,0,0,0,0,0,CO,1,1,2,2,12,3,,,,,,,34,39,2,1,1,0,3,35,52,3,0,4,21,15,65,99,1,0,,,0,0,14,731,20,22,,,,8,21,158,0,0,158,3,60,30,24,12,17,1,61,19,0,33,8,1,34,2,61,1,,,,,,,,,,,,
Purdue University Fort Wayne,57,95,79,8,0,IN,1,1,2,2,11,3,83,83,82,30,35,27,72,13,0,4,4,0,6,9,74,0,3,4,11,54,36,88,10,1,65,44,0,191,1202,59,38,41,19,34,38,,40,408,0,17,425,5,15,106,98,57,73,7,262,70,0,165,20,7,14,2,68,6,81,25,490,600,490,580,19,25,17,24,18,26
Purdue University Global,0,0,0,0,0,IN,1,1,2,2,11,5,,,,,,,20,79,1,4,3,0,20,13,57,3,0,4,100,0,0,9,91,0,33,33,96,2471,4068,1674,20,24,14,18,18,20,22,797,0,0,797,2,195,92,12,0,0,0,3,0,0,3,0,0,0,0,76,12,,,,,,,,,,,,
Purdue University Northwest,79,92,55,13,0,IN,1,1,2,2,21,3,30,35,27,68,72,65,62,24,0,3,3,0,10,21,58,1,3,3,16,49,35,86,14,0,71,54,3,352,1886,3,42,42,22,36,42,,42,313,1,39,353,4,15,98,85,49,73,2,273,74,0,182,16,1,31,1,44,0,75,24,480,580,480,570,19,25,18,24,18,25
Purdue University-Main Campus,814,474,523,3,0,IN,1,1,2,2,13,5,67,63,74,23,23,23,77,2,0,9,9,0,3,6,59,2,17,4,18,64,18,50,38,10,93,70,1036,2280,7226,61,81,85,60,79,83,,83,2161,519,285,2965,38,499,931,1101,1155,524,182,2991,1033,36,1523,282,117,23,0,70,1,82,46,580,680,590,740,25,33,24,34,26,33
Queens University of Charlotte,34,34,44,16,3,NC,1,2,2,2,11,2,68,66,69,14,18,13,83,16,0,2,2,0,17,11,56,6,6,0,89,10,0,51,44,5,79,100,0,294,423,0,54,59,50,56,57,,57,185,0,0,185,2,32,62,12,10,52,6,47,6,0,38,2,1,5,0,79,10,54,41,520,620,520,610,20,27,21,31,18,25
Quincy University,9,15,27,2,0,IL,1,2,2,2,33,2,67,66,69,26,32,21,83,9,0,1,1,0,10,4,76,7,3,0,15,57,28,52,45,3,73,,0,34,240,0,44,56,42,49,50,,50,73,0,0,73,1,0,20,1,5,34,3,35,4,8,23,0,0,65,23,4,8,47,62,480,600,495,600,19,25,17,25,18,25
Quinnipiac University,134,146,115,13,0,CT,1,2,2,2,21,3,82,83,82,11,11,11,92,5,0,4,4,0,5,9,74,3,2,2,12,62,26,27,71,2,89,0,357,835,1748,0,71,80,73,76,76,,76,593,0,0,593,15,8,340,16,29,64,18,330,112,1,112,103,2,12,1,73,0,,,,,,,,,,,,
Rabbi Jacob Joseph School,,,,,,NJ,1,2,2,2,21,1,77,77,,100,100,,,,0,0,0,0,0,0,99,0,1,0,0,0,100,75,25,0,61,,0,0,8,0,0,,0,0,0,100,0,5,0,0,5,0,0,1,2,0,0,0,4,3,0,1,0,0,100,0,0,0,,,,,,,,,,,,
Rabbinical Academy Mesivta Rabbi Chaim Berlin,,,,,,NY,1,2,2,2,11,1,98,98,,100,100,,,,0,0,0,0,0,0,98,0,2,0,0,0,100,98,2,0,83,,0,28,22,0,32,,0,7,32,25,32,15,0,0,15,0,0,2,3,0,0,0,21,17,0,4,0,0,100,0,0,0,,,,,,,,,,,,
Rabbinical College Beth Shraga,,,,,,NY,1,2,2,2,21,1,100,100,,100,100,,,,0,0,0,0,0,0,100,0,0,0,0,0,100,100,0,0,65,,0,0,0,5,75,,0,0,5,25,75,4,0,0,4,0,0,1,2,0,0,0,3,2,0,1,0,0,100,0,0,0,,,,,,,,,,,,
Rabbinical College Bobover Yeshiva Bnei Zion,0,0,0,11,0,NY,1,2,2,2,11,1,,,,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,100,86,4,11,95,,0,11,81,0,89,,0,89,89,,89,14,0,0,14,1,8,6,0,0,0,0,4,2,0,2,0,0,100,0,0,0,,,,,,,,,,,,
Rabbinical College of America,0,0,0,18,0,NJ,1,2,2,2,21,1,84,84,,95,95,,,,0,0,0,0,0,0,83,0,17,0,0,0,100,3,80,7,72,,0,5,25,0,22,,5,19,22,16,22,19,0,0,19,0,0,2,4,0,0,0,14,12,0,2,0,0,100,0,0,0,,,,,,,,,,,,
Rabbinical College of Long Island,0,0,0,8,0,NY,1,2,2,2,21,1,80,80,,100,100,,,,0,0,0,0,0,0,98,0,2,0,0,0,100,23,73,5,95,,0,0,18,0,,,,,,,,8,0,0,8,0,0,1,1,0,0,0,10,8,0,2,0,0,100,0,0,0,,,,,,,,,,,,
Rabbinical College of Ohr Shimon Yisroel,,,,,,NY,1,2,2,2,11,1,,,,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,100,100,0,0,44,,0,0,77,0,44,,0,44,44,24,44,9,0,0,9,0,0,1,1,0,0,0,1,0,0,1,0,0,100,0,0,0,,,,,,,,,,,,
Rabbinical College Ohr Yisroel,,,,,,NY,1,2,2,2,11,1,,,,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,100,100,0,0,76,,0,0,13,0,41,,0,41,41,35,41,7,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,
Rabbinical Seminary Mkor Chaim,,,,,,NJ,1,2,2,2,21,1,100,100,,100,100,,,,0,0,0,0,0,0,100,0,0,0,0,0,100,100,0,0,,,0,0,0,0,0,,0,0,0,75,0,5,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,
Radford University,160,121,145,81,0,VA,1,1,2,2,23,4,79,76,80,11,11,11,90,8,0,2,1,0,14,6,59,15,1,4,31,56,13,90,9,0,75,33,56,423,1867,31,51,60,40,54,56,33,56,590,0,0,590,18,48,176,73,65,104,14,361,110,9,173,56,13,8,0,84,6,,,,,,,,,,,,
Ramapo College of New Jersey,67,91,56,1,0,NJ,1,1,2,2,21,3,67,69,65,19,20,18,87,10,0,9,9,0,6,19,58,6,1,0,83,15,3,95,3,0,85,100,0,303,1273,0,65,78,61,70,72,20,72,298,0,0,298,15,38,31,25,39,60,1,227,78,0,113,36,0,45,1,54,0,90,18,520,610,520,610,21,27,20,28,18,26
Randall University,0,0,0,0,0,OK,1,2,2,2,21,1,39,39,38,61,59,64,69,28,4,1,1,0,10,22,48,7,4,5,39,28,33,50,36,0,70,100,0,5,51,12,54,56,22,35,38,27,55,20,0,0,20,1,1,2,5,1,0,0,7,1,2,2,2,0,97,2,1,0,17,69,480,585,400,570,18,23,16,22,16,22
Randolph College,29,18,16,3,0,VA,1,2,2,2,13,1,90,90,90,11,12,11,,,0,2,2,0,19,9,59,1,3,7,100,0,0,71,22,5,71,,0,14,125,0,47,62,52,55,56,22,56,67,0,0,67,8,3,28,15,11,33,2,64,30,0,25,8,1,13,0,62,7,69,15,480,600,470,560,18,24,14,24,16,23
Randolph-Macon College,49,28,21,18,0,VA,1,2,2,2,21,2,71,66,76,23,22,23,99,1,0,1,1,0,9,6,76,1,2,5,0,0,100,77,21,2,87,0,0,0,336,0,63,67,61,65,66,11,66,137,0,0,137,9,31,43,24,16,50,9,91,54,0,28,9,0,15,8,52,6,90,24,520,620,510,598,21,28,20,29,19,26
Ranken Technical College,0,0,0,108,0,MO,1,2,2,2,11,2,,,,,,,68,32,1,2,1,0,18,4,65,9,0,2,6,60,34,69,18,0,36,,0,0,21,396,68,32,29,29,29,,66,129,0,0,129,0,31,5,20,9,0,0,18,6,0,12,0,0,92,7,0,0,,,,,,,,,,,,
Rasmussen University-Florida,0,0,0,124,0,FL,1,3,2,2,13,3,,,,,,,23,77,0,3,2,0,19,16,41,18,0,3,72,28,0,70,29,0,50,50,0,7,1413,1380,47,38,35,35,35,,40,502,0,0,502,1,137,53,4,0,0,0,12,0,0,12,0,0,0,0,76,15,,,,,,,,,,,,
Rasmussen University-Illinois,0,0,0,48,0,IL,1,3,2,2,12,2,,,,,,,22,78,0,4,4,0,33,15,25,20,0,3,55,44,1,95,5,0,,,0,2,9,531,25,31,100,100,100,,31,80,0,0,80,1,58,43,30,0,0,0,8,0,0,8,0,0,0,0,76,15,,,,,,,,,,,,
Rasmussen University-Kansas,0,0,0,14,0,KS,1,3,2,2,41,1,,,,,,,28,72,1,2,2,0,14,8,53,15,0,6,58,42,0,79,21,0,,0,0,1,34,173,,50,,,,,50,25,0,0,25,0,11,5,0,0,0,0,2,0,0,2,0,0,0,0,76,15,,,,,,,,,,,,
Rasmussen University-Minnesota,0,0,0,90,0,MN,1,3,2,2,13,2,,,,,,,32,66,1,4,4,0,19,6,47,20,0,3,52,47,1,98,2,0,100,,0,19,169,1117,20,41,18,18,18,,36,157,0,0,157,5,185,68,7,0,0,0,16,0,0,16,0,0,0,0,76,15,,,,,,,,,,,,
Rasmussen University-North Dakota,0,0,0,19,0,ND,1,3,2,2,12,1,,,,,,,33,67,3,2,2,0,17,4,56,13,0,4,56,44,0,69,31,0,,,0,2,25,210,25,50,,,,,42,30,0,0,30,0,14,6,0,0,0,0,2,0,0,2,0,0,0,0,76,15,,,,,,,,,,,,
Rasmussen University-Wisconsin,0,0,0,18,0,WI,1,3,2,2,12,1,,,,,,,27,73,2,4,3,0,5,5,68,13,0,3,62,38,0,98,2,0,,,0,2,35,162,100,41,50,50,50,,43,30,0,0,30,0,19,10,0,0,0,0,2,0,0,2,0,0,0,0,76,15,,,,,,,,,,,,
Reconstructionist Rabbinical College,3,1,1,0,0,PA,1,2,2,2,21,1,,,,,,,,,0,2,2,0,2,0,95,0,0,0,100,0,0,,,,,,0,5,0,0,,,,,,,,6,0,0,6,1,3,6,4,2,12,0,6,0,0,6,0,0,99,1,0,0,,,,,,,,,,,,
Red Rocks Community College,0,0,0,98,0,CO,1,1,2,2,12,3,,,,,,,45,36,1,4,3,0,2,20,66,3,1,4,58,15,27,99,1,0,,,0,28,3,682,22,28,,,,17,24,205,0,0,205,3,62,38,33,13,26,0,95,35,0,51,9,0,23,3,23,51,,,,,,,,,,,,
Reed College,61,34,31,0,0,OR,1,2,2,2,11,2,42,40,44,15,18,14,95,1,0,7,7,0,1,10,58,3,10,10,23,69,8,9,81,10,83,,0,4,309,0,70,82,62,72,77,13,77,173,0,0,173,23,22,48,46,54,27,6,133,76,0,45,11,1,17,2,72,4,,,,,,,,,,,,
Reformed Presbyterian Theological Seminary,,,,,,PA,1,2,2,2,11,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reformed University,,,,,,GA,1,2,2,2,21,1,,,,,,,17,80,0,51,51,0,1,4,1,4,39,0,1,17,82,20,0,0,86,50,0,0,6,0,,100,100,100,100,,100,13,0,0,13,0,2,1,1,0,0,0,0,0,0,0,0,0,98,1,0,0,,,,,,,,,,,,
Regent University,43,44,34,2,10,VA,1,2,2,2,11,4,50,50,51,19,20,19,,,0,2,2,0,33,8,48,3,2,4,81,12,7,44,55,1,77,33,413,1112,661,38,58,62,50,59,61,,61,150,0,0,150,13,167,30,39,28,116,0,62,18,0,35,9,0,23,1,56,3,48,13,500,640,440,580,21,29,21,29,19,25
Regis College,8,50,57,0,8,MA,1,2,2,2,21,2,84,81,85,9,7,10,81,18,0,2,2,0,8,11,27,51,1,1,49,0,51,79,21,0,80,,24,354,392,141,45,71,58,63,64,24,64,203,0,0,203,4,57,41,11,12,8,7,59,17,0,37,5,0,10,0,75,15,,,,,,,,,,,,
Regis University,77,102,74,37,17,CO,1,2,2,2,11,3,78,79,78,10,10,10,62,37,0,5,5,0,5,19,56,8,2,4,27,39,34,65,34,1,73,,136,1081,846,0,62,70,56,66,67,,67,461,0,0,461,1,5,84,8,33,27,0,254,15,35,185,19,0,37,2,39,4,71,39,500,620,500,600,21,28,20,28,19,26
Reinhardt University,16,13,38,5,2,GA,1,2,2,2,41,2,99,98,99,26,30,23,83,14,0,1,1,0,17,11,63,4,2,3,15,49,36,92,6,2,60,0,0,23,294,22,29,41,23,33,35,30,35,108,0,3,111,4,12,16,15,3,44,3,13,1,0,12,0,0,18,1,58,13,58,42,480,590,460,570,19,24,17,24,17,23
Reiss-Davis Graduate School,,,,,,CA,1,2,2,2,11,1,,,,,,,,,0,6,6,0,4,23,28,34,0,4,0,0,100,,,,,,0,0,0,0,,,,,,,,2,0,0,2,1,0,4,0,0,0,0,1,0,0,1,0,0,95,2,0,0,,,,,,,,,,,,
Relay Graduate School of Education,0,2,107,3,0,NY,1,2,2,2,11,2,,,,,,,43,57,0,5,5,0,38,19,29,2,3,3,100,0,0,,,,,,0,1307,0,0,,,,,,,,161,6,0,167,1,31,16,14,20,1,0,70,0,0,70,0,0,3,0,47,0,,,,,,,,,,,,
Remington College-Dallas Campus,0,0,0,0,0,TX,1,2,2,2,21,1,,,,,,,39,60,2,2,2,0,43,35,15,0,0,3,0,100,0,99,1,0,,,0,0,5,72,60,61,67,67,67,,61,24,2,0,26,1,0,14,3,0,0,0,10,0,5,5,0,0,0,0,48,3,,,,,,,,,,,,
Remington College-Heathrow Campus,,,,,,FL,1,2,2,2,21,1,,,,,,,26,74,0,0,0,0,11,1,2,77,3,6,100,0,0,0,84,0,50,,0,0,32,50,36,24,31,33,34,,26,8,0,0,8,0,0,18,4,0,0,0,8,0,3,5,0,0,0,0,9,3,,,,,,,,,,,,
Remington College-Memphis Campus,0,0,0,0,0,TN,1,2,2,2,11,1,,,,,,,39,61,0,0,0,0,91,1,5,0,0,1,0,100,0,77,19,0,,,0,0,5,106,33,38,58,58,58,,37,27,0,0,27,1,0,12,3,0,0,0,12,3,4,5,0,0,99,0,0,0,,,,,,,,,,,,
Remington College-Mobile Campus,0,0,0,0,0,AL,1,2,2,2,12,1,,,,,,,39,61,0,0,0,0,46,0,23,28,0,2,0,100,0,92,4,0,54,,0,0,0,29,38,52,,,,,49,17,0,0,17,1,0,9,2,0,0,0,8,1,5,2,0,0,0,0,16,6,,,,,,,,,,,,
Remington College-North Houston Campus,0,0,0,0,0,TX,1,2,2,2,11,1,,,,,,,48,52,0,3,1,1,46,40,9,0,0,3,0,100,0,100,0,0,,,0,0,0,44,42,47,78,78,78,,46,13,0,0,13,1,0,8,1,0,0,0,7,0,4,3,0,0,100,0,0,0,,,,,,,,,,,,
Remington College-Shreveport Campus,0,0,0,0,0,LA,1,2,2,2,12,1,,,,,,,37,62,0,0,0,0,73,1,22,3,0,1,0,100,0,86,7,0,,,0,0,1,46,47,52,73,73,73,,51,12,0,0,12,0,0,8,2,0,0,0,8,0,5,3,0,0,0,0,16,6,,,,,,,,,,,,
Rensselaer at Hartford,4,0,0,0,1,CT,1,2,2,2,12,1,,,,,,,,,0,12,12,0,4,7,68,6,1,2,100,0,0,,,,,,0,23,0,0,,,,,,,,8,0,0,8,0,3,7,0,1,0,0,0,0,0,0,0,0,0,0,49,40,,,,,,,,,,,,
Rensselaer Polytechnic Institute,173,76,57,0,103,NY,1,2,2,2,13,3,57,57,57,15,16,14,97,1,0,15,15,0,4,10,43,3,20,4,0,0,100,30,59,11,91,,130,387,1569,0,85,90,74,85,87,2,87,433,135,0,568,18,120,158,143,102,85,24,371,143,1,134,80,13,30,2,33,27,67,29,620,720,680,780,29,34,,,,
Renton Technical College,0,0,0,65,0,WA,1,1,2,2,12,2,,,,,,,29,67,0,11,10,0,10,10,22,42,1,5,37,12,51,100,0,0,,,0,0,23,218,55,60,,,,9,57,110,0,0,110,1,9,44,19,9,10,1,55,28,0,27,0,0,28,1,58,0,,,,,,,,,,,,
Research College of Nursing,5,4,19,6,0,MO,1,3,2,2,11,1,,,,,,,,,1,3,3,0,7,3,80,6,0,0,30,0,70,,,,,,0,34,117,0,,,,,,,,34,0,0,34,1,7,2,3,1,1,0,2,0,0,2,0,0,16,0,64,0,,,,,,,,,,,,
Resurrection University,1,8,14,25,0,IL,1,2,2,2,11,1,,,,,,,,,0,16,15,1,24,30,26,2,0,3,75,19,6,,,,,,11,41,453,0,,,,,,,,48,0,0,48,2,16,25,5,5,1,0,2,0,0,2,0,0,9,0,12,30,,,,,,,,,,,,
Rhode Island College,119,118,82,0,0,RI,1,1,2,2,21,3,81,74,85,21,21,21,77,22,0,3,3,0,10,23,55,7,0,2,92,7,1,85,15,0,76,44,1,298,1289,0,39,49,21,38,46,,46,417,0,0,417,13,78,54,24,37,54,4,224,124,0,85,15,0,30,1,48,12,84,3,450,560,420,540,18,25,,,,
Rhode Island School of Design,66,60,55,0,0,RI,1,2,2,2,12,2,27,36,24,38,38,38,,,0,18,18,0,4,8,26,2,35,6,0,0,100,1,68,23,85,,0,205,446,0,87,89,70,86,89,,89,299,0,0,299,30,2,135,66,32,33,4,339,169,9,111,50,0,10,47,16,0,68,17,610,700,640,770,27,32,27,35,25,30
Rhodes College,40,69,69,4,0,TN,1,2,2,2,11,2,51,49,53,17,18,16,,,0,7,7,0,10,6,64,1,6,5,100,0,0,25,72,3,87,,0,24,441,0,80,83,79,81,82,16,82,195,0,0,195,6,10,61,27,23,52,4,129,76,0,34,16,3,28,2,56,0,40,73,620,720,600,680,27,32,29,35,26,31
Rice University,310,109,123,14,140,TX,1,2,2,2,11,3,11,11,11,39,41,37,98,0,0,20,20,0,6,12,33,2,23,4,5,87,7,40,47,10,97,,208,905,972,0,93,96,85,93,94,,94,748,11,0,759,64,215,293,444,670,238,13,700,293,0,259,89,59,50,13,28,4,59,41,710,770,750,800,34,36,34,36,32,35
Richmont Graduate University,6,6,2,0,0,TN,1,2,2,2,12,1,,,,,,,,,2,2,1,0,13,2,79,2,0,0,12,34,54,,,,,,0,68,0,0,,,,,,,,22,0,10,32,4,15,2,7,2,17,0,6,0,0,5,1,0,69,5,23,0,,,,,,,,,,,,
Rider University,73,79,35,0,7,NJ,1,2,2,2,21,2,76,75,76,12,13,11,92,7,0,5,5,0,14,16,54,5,3,3,11,29,60,75,23,1,79,40,0,345,923,5,63,66,57,63,65,,65,292,0,0,292,23,64,88,64,34,92,2,154,41,0,89,23,1,52,1,37,0,50,7,510,620,510,600,20,26,20,25,18,26
Ringling College of Art and Design,0,0,0,0,0,FL,1,2,2,2,13,2,69,65,70,26,26,26,94,5,0,9,9,0,3,15,46,3,18,5,36,64,0,31,46,23,80,50,0,0,346,0,74,81,72,77,78,,78,139,0,0,139,12,17,63,19,21,30,0,87,31,1,49,6,0,18,3,45,33,,,,,,,,,,,,
Rio Hondo College,0,0,0,198,0,CA,1,1,2,2,21,4,,,,,,,57,35,0,5,5,0,1,85,5,2,0,1,9,21,70,99,0,0,,,0,0,11,1288,22,21,,,,3,21,322,0,0,322,1,27,39,13,15,17,3,165,36,0,129,0,0,76,2,1,6,,,,,,,,,,,,
Ripon College,18,22,9,3,0,WI,1,2,2,2,32,1,74,71,78,13,13,12,,,0,2,2,0,3,10,79,1,2,3,3,72,25,68,31,1,76,,0,0,129,0,72,64,60,66,67,,67,59,0,0,59,3,4,23,8,4,32,0,14,6,0,8,0,0,37,0,42,5,15,73,480,590,490,580,18,25,18,25,18,25
Riverside College of Health Careers,0,0,0,31,0,VA,1,2,2,2,12,1,,,,,,,,,0,5,5,0,15,5,67,1,0,7,7,40,53,,,,0,,0,0,0,124,100,,,,,,100,36,0,0,36,2,0,13,4,2,0,0,4,0,0,4,0,0,95,1,2,0,,,,,,,,,,,,
Rivier University,8,12,26,12,0,NH,1,2,2,2,13,2,76,70,78,15,18,14,,,0,6,6,0,7,4,72,9,0,2,34,15,51,53,47,0,70,50,8,191,296,36,65,53,46,55,55,,56,107,0,0,107,11,28,11,13,0,18,4,63,37,0,23,3,0,15,24,37,0,,,,,,,,,,,,
Roanoke College,51,52,29,0,0,VA,1,2,2,2,22,2,78,77,79,11,14,10,96,2,0,2,2,0,5,5,82,0,2,4,15,84,2,51,48,1,79,,0,0,428,0,67,71,64,68,70,24,70,173,0,0,173,5,8,35,19,12,34,3,130,60,1,55,13,1,10,0,18,64,75,24,530,630,510,610,21,28,21,27,20,27
