institution,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd
University of North Texas at Dallas,Hispanic,Black,White
University of North Texas Health Science Center,White,White,Asian
University of North Texas System,White,Asian,White
University of Northern Colorado,White,White,White
University of Northern Iowa,White,White,White
University of Northwestern Ohio,White,White,White
University of Northwestern-St Paul,White,White,White
University of Notre Dame,White,White,White
University of Oklahoma-Health Sciences Center,White,White,White
University of Oklahoma-Norman Campus,White,White,White
University of Oregon,White,White,White
University of Pennsylvania,White,White,White
University of Phoenix-Arizona,White,White,Black
University of Phoenix-California,UnknownEthnicity,Hispanic,White
University of Phoenix-Florida,UnknownEthnicity,White,White
University of Phoenix-Georgia,Black,White,White
University of Phoenix-Hawaii,UnknownEthnicity,Hispanic,White
University of Phoenix-Illinois,Black,Black,White
University of Phoenix-Michigan,White,Asian,White
University of Phoenix-Nevada,UnknownEthnicity,Black,White
University of Phoenix-New Jersey,Hispanic,Asian,White
University of Phoenix-New Mexico,Hispanic,Asian,White
University of Phoenix-North Carolina,UnknownEthnicity,Asian,White
University of Phoenix-Pennsylvania,Black,Asian,White
University of Phoenix-Texas,Black,Black,White
University of Phoenix-Utah,UnknownEthnicity,White,White
University of Phoenix-Virginia,White,Asian,White
University of Phoenix-Washington,White,Black,White
University of Pikeville,White,White,White
University of Pittsburgh-Bradford,White,Asian,White
University of Pittsburgh-Greensburg,White,Asian,White
University of Pittsburgh-Johnstown,White,Asian,White
University of Pittsburgh-Pittsburgh Campus,White,White,White
University of Pittsburgh-Titusville,White,Asian,White
University of Portland,White,White,White
University of Providence,White,White,White
University of Puerto Rico-Aguadilla,Hispanic,Asian,White
University of Puerto Rico-Arecibo,Hispanic,Asian,White
University of Puerto Rico-Bayamon,Hispanic,Asian,White
University of Puerto Rico-Carolina,Hispanic,Asian,White
University of Puerto Rico-Cayey,Hispanic,Asian,White
University of Puerto Rico-Central Administration,White,Asian,White
University of Puerto Rico-Humacao,Hispanic,Asian,White
University of Puerto Rico-Mayaguez,Hispanic,Hispanic,Hispanic
University of Puerto Rico-Medical Sciences,Hispanic,Hispanic,Hispanic
University of Puerto Rico-Ponce,Hispanic,Asian,White
University of Puerto Rico-Rio Piedras,Hispanic,Hispanic,Hispanic
University of Puerto Rico-Utuado,Hispanic,Asian,White
University of Puget Sound,White,White,White
University of Redlands,White,Hispanic,Hispanic
University of Redlands Graduate School of Theology,White,Asian,White
University of Rhode Island,White,White,White
University of Richmond,White,White,White
University of Rio Grande,White,White,White
University of Rochester,White,White,White
University of Saint Francis-Fort Wayne,White,White,White
University of Saint Joseph,White,White,White
University of Saint Katherine,White,Asian,White
University of Saint Mary,White,White,Asian
University of Saint Mary of the Lake,White,White,White
University of San Diego,White,White,White
University of San Francisco,White,White,White
University of Science and Arts of Oklahoma,White,Asian,White
University of Scranton,White,White,Asian
University of Sioux Falls,White,White,White
University of South Alabama,White,White,White
University of South Carolina Aiken,White,White,White
University of South Carolina Beaufort,White,Asian,White
University of South Carolina-Columbia,White,White,White
University of South Carolina-Lancaster,White,Asian,White
University of South Carolina-Salkehatchie,White,Asian,White
University of South Carolina-Sumter,White,Asian,White
University of South Carolina-Union,White,Asian,White
University of South Carolina-Upstate,White,White,White
University of South Dakota,White,White,White
University of South Florida,White,White,White
University of South Florida-Sarasota-Manatee,White,Asian,White
University of South Florida-St Petersburg,White,Asian,White
University of Southern California,White,White,White
University of Southern Indiana,White,White,Asian
University of Southern Maine,White,White,White
University of Southern Mississippi,White,White,White
University of Spa & Cosmetology Arts,White,Asian,White
University of St Francis,White,White,White
University of St Thomas,Hispanic,Hispanic,Black
University of St Thomas,Hispanic,Hispanic,Black
University of St Thomas,Hispanic,Hispanic,Black
University of St Thomas,Hispanic,Hispanic,Black
University of St Thomas,White,White,White
University of St Thomas,White,White,White
University of St Thomas,White,White,White
University of St Thomas,White,White,White
University of St. Augustine for Health Sciences,White,White,White
University of Texas Health Science Center at Tyler,White,White,White
University of Texas Southwestern Medical Center,White,White,White
University of the Cumberlands,UnknownEthnicity,UnknownEthnicity,White
University of the District of Columbia,Black,Black,Asian
University of the District of Columbia-David A Clarke School of Law,White,Asian,White
University of the Incarnate Word,Hispanic,Hispanic,Hispanic
University of the Ozarks,White,Asian,White
University of the Pacific,Asian,White,White
University of the People,UnknownEthnicity,UnknownEthnicity,White
University of the Potomac-VA Campus,Asian,Asian,White
University of the Potomac-Washington DC Campus,Black,Black,White
University of the Sciences,White,White,White
University of the Southwest,Hispanic,White,Asian
University of the Virgin Islands,Black,Black,Black
University of the West,Hispanic,Asian,White
University of Toledo,White,White,White
University of Tulsa,White,White,White
University of Utah,White,White,White
University of Valley Forge,White,White,White
University of Vermont,White,White,White
University of Virginia-Main Campus,White,White,White
University of Washington-Bothell Campus,White,White,White
University of Washington-Seattle Campus,White,White,White
University of Washington-Tacoma Campus,White,White,White
University of West Alabama,White,White,Asian
University of West Georgia,White,White,White
University of West Los Angeles,Asian,Black,White
University of West Los Angeles - Chatsworth,White,Asian,White
University of Western States,White,White,White
University of Wisconsin-Eau Claire,White,White,White
University of Wisconsin-Green Bay,White,White,White
University of Wisconsin-La Crosse,White,White,White
University of Wisconsin-Madison,White,White,White
University of Wisconsin-Milwaukee,White,White,White
University of Wisconsin-Milwaukee Flex,White,Asian,White
University of Wisconsin-Oshkosh,White,White,White
University of Wisconsin-Parkside,White,White,White
University of Wisconsin-Parkside Flex,White,Asian,White
University of Wisconsin-Platteville,White,White,White
University of Wisconsin-River Falls,White,White,White
University of Wisconsin-Stevens Point,White,White,White
University of Wisconsin-Stout,White,White,White
University of Wisconsin-Superior,White,White,White
University of Wisconsin-System Administration,White,Asian,White
University of Wisconsin-Whitewater,White,White,White
University of Wyoming,White,White,White
University System of Maryland,White,Asian,White
University System of Maryland-Research Centers,White,Asian,White
University System of New Hampshire System Office,White,Asian,White
Unlimited Cosmetology School,White,Asian,White
UPMC Jameson School of Nursing,White,Asian,White
UPMC Mercy School of Nursing,White,Asian,White
UPMC Shadyside School of Nursing,White,Asian,White
UPMC St. Margaret School of Nursing,White,Asian,White
Upper Cape Cod Regional Technical School,White,Asian,White
Upper Iowa University,White,White,White
Upper Valley Career Center,White,Asian,White
Upper Valley Educators Institute,White,Asian,White
Upstate Medical University,White,White,White
UR Beauty & Barber Academy,White,Asian,White
Urban Barber College,White,Asian,White
Urban College of Boston,White,Asian,White
Urshan College,White,Asian,White
Urshan Graduate School of Theology,White,White,White
Ursinus College,White,Asian,White
Ursuline College,White,White,White
Uta Mesivta of Kiryas Joel,White,Asian,White
Utah State University,White,White,White
Utah Valley University,White,White,White
Utica College,White,White,White
Valdosta State University,White,White,White
Valencia College,White,Asian,White
Valley City State University,White,White,White
Valley College of Medical Careers,White,Asian,White
Valley College-Beckley,White,Asian,White
Valley College-Cleveland,White,Asian,White
Valley College-Martinsburg,White,Asian,White
Valley Forge Military College,White,Asian,White
Valley Grande Institute for Academic Studies,White,Asian,White
Valor Christian College,White,Asian,White
Valparaiso University,White,White,White
Vance-Granville Community College,White,Asian,White
Vanderbilt University,White,White,White
VanderCook College of Music,White,White,White
Vanguard College of Cosmetology-Baton Rouge,White,Asian,White
Vanguard College of Cosmetology-Metairie,White,Asian,White
Vanguard University of Southern California,Hispanic,White,White
Vanguard-Sentinel Adult Career and Technology Center,White,Asian,White
Vantage Career Center,White,Asian,White
Vassar College,White,Asian,White
Vaughn Beauty College,White,Asian,White
Vaughn College of Aeronautics and Technology,Hispanic,White,White
Veeb Nassau County School of Practical Nursing,White,Asian,White
Velvatex College of Beauty Culture,White,Asian,White
Venango County Area Vocational Technical School,White,Asian,White
Ventura Adult and Continuing Education,White,Asian,White
Ventura College,White,Asian,White
Ventura County Community College System Office,White,Asian,White
